"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","Classic",2937733601,"Beginner NBA $1 Double Up",117247577,"2021-11-01 19:00:00",5,310.25,"$2.00","$0.00",39,"$1.00","$34.00",17
"NBA","In-Game Showdown (Q4)",2929335993,"NBA In-Game FREE 200-Player (4Q CLE vs LAL)",117017516,"2021-10-30 00:14:00",6,37.25,"$0.00","$0.00",10,"$0.00","$0.00",0
"NBA","Tiers",2927024822,"NBA Tiers FREE 200-Player",116958881,"2021-10-29 19:00:00",41,245.5,"$0.00","$0.00",144,"$0.00","$0.00",0
"NBA","Classic",2927600109,"NBA FREE 200-Player",116966262,"2021-10-29 19:00:00",19,259.75,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic",2928951342,"NBA FREE 200-Player",117027833,"2021-10-29 19:00:00",25,253.75,"$0.00","$0.00",167,"$0.00","$0.00",0
"NBA","Classic",2929005222,"NBA FREE 25-Player (Turbo)",117031974,"2021-10-29 19:30:00",12,237.25,"$0.00","$0.00",24,"$0.00","$0.00",0
"NBA","Classic",2929006228,"NBA $50 Quarter Jukebox [Just $0.25!] (Turbo)",117040142,"2021-10-29 19:30:00",98,246.25,"$0.00","$0.00",219,"$0.25","$50.00",55
"NHL","Classic",2926966822,"NHL FREE 200-Player",116938137,"2021-10-28 19:00:00",9,113.4,"$0.00","$0.00",50,"$0.00","$0.00",0
"NBA","Classic",2924258742,"NBA FREE 200-Player",116810730,"2021-10-27 19:00:00",135,226.75,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic",2924148260,"NBA FREE 150-Player",116812929,"2021-10-27 19:00:00",16,280,"$0.00","$0.00",150,"$0.00","$0.00",0
"NBA","Tiers",2922939935,"NBA Tiers FREE 200-Player",116728239,"2021-10-26 19:30:00",86,249.25,"$0.00","$0.00",183,"$0.00","$0.00",0
"NBA","Tiers",2922940316,"NBA Tiers FREE 200-Player",116768542,"2021-10-26 19:30:00",27,249.25,"$0.00","$0.00",48,"$0.00","$0.00",0
"NBA","Classic",2907564949,"NBA FREE 200-Player",116196861,"2021-10-20 19:00:00",130,246.5,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic",2894373367,"NBA FREE 200-Player",115424011,"2021-10-19 19:30:00",175,202,"$0.00","$0.00",200,"$0.00","$0.00",0
"NBA","Classic",2905874268,"NBA FREE 200-Player",116115501,"2021-10-19 19:30:00",92,250.25,"$0.00","$0.00",200,"$0.00","$0.00",0
"NHL","Classic",2895551837,"NHL FREE 100-Player",115807424,"2021-10-16 19:00:00",72,72.1,"$0.00","$0.00",100,"$0.00","$0.00",0
"NHL","Classic",2893754267,"NHL FREE 200-Player",115704320,"2021-10-14 19:00:00",40,121.7,"$0.00","$0.00",118,"$0.00","$0.00",0
"NFL","KFC Sunday Night Showdown Series",2882211952,"KFC Free Sunday Night Series (KFC BUF vs KC)",114984879,"2021-10-10 20:20:00",29872,111.67,"$0.00","$0.00",96720,"$0.00","$10,000.00",6160
